39F85A44-51DC-FD6A-137A-88B023193923	F0E0355D-FD75-0854-D6C6-88B023191D58	AAF03949-00C6-CA44-15FF-88B84792ECC5	EA06C3DC-2A55-9BCA-E865-88B023197CA0	F1F0B461-0A9C-61C6-2CF0-88B0231915BE	020D2C64-312F-281A-00C0-88B023196F1B
cell-type	promoter-construct	reagent	immunoprecipitate	primary-antibody	protein-concentration
Cos-7	HA-Sos-1	control	lysate	EGFR	high
Cos-7	HA-Sos-1	control	lysate	HA	high
Cos-7	HA-Sos-1	control	lysate	E3b1	none
Cos-7	HA-Sos-1	EGF	lysate	EGFR	high
Cos-7	HA-Sos-1	EGF	lysate	HA	high
Cos-7	HA-Sos-1	EGF	lysate	E3b1	none
Cos-7	E3b1 / HA-Sos-1	control	lysate	EGFR	high
Cos-7	E3b1 / HA-Sos-1	control	lysate	HA	high
Cos-7	E3b1 / HA-Sos-1	control	lysate	E3b1	high
Cos-7	E3b1 / HA-Sos-1	EGF	lysate	EGFR	high
Cos-7	E3b1 / HA-Sos-1	EGF	lysate	HA	high
Cos-7	E3b1 / HA-Sos-1	EGF	lysate	E3b1	high
Cos-7	HA-Sos-1	control	control	EGFR	none
Cos-7	HA-Sos-1	control	control	HA	none
Cos-7	HA-Sos-1	control	EGFR	EGFR	high
Cos-7	HA-Sos-1	control	EGFR	HA	none
Cos-7	HA-Sos-1	EGF	control	EGFR	none
Cos-7	HA-Sos-1	EGF	control	HA	none
Cos-7	HA-Sos-1	EGF	EGFR	EGFR	high
Cos-7	HA-Sos-1	EGF	EGFR	HA	moderate
Cos-7	E3b1 / HA-Sos-1	control	control	EGFR	none
Cos-7	E3b1 / HA-Sos-1	control	control	HA	none
Cos-7	E3b1 / HA-Sos-1	control	EGFR	EGFR	high
Cos-7	E3b1 / HA-Sos-1	control	EGFR	HA	none
Cos-7	E3b1 / HA-Sos-1	EGF	control	EGFR	none
Cos-7	E3b1 / HA-Sos-1	EGF	control	HA	none
Cos-7	E3b1 / HA-Sos-1	EGF	EGFR	EGFR	high
Cos-7	E3b1 / HA-Sos-1	EGF	EGFR	HA	very low
