7DB5F66C-F31C-0AAE-ACB6-A2FFF9E6EBB9	DD19A2DF-1014-F18D-2292-A2FFF9E60EB9.CB0441F9-42CF-0AF9-E779-A2FFF9E695DE	DD19A2DF-1014-F18D-2292-A2FFF9E60EB9.899C0324-FAC5-CA90-7EF4-A2FFF9E6A66A	02A3E40F-B2DD-931E-185D-A2FFF9E64A97	D67A5C4F-E7D1-4C57-5065-A2FFF9E6719B	857A7802-F680-177A-854B-A2FFF9E6D00C
cell-type	promoter-construct: molecule1	promoter-construct: molecule2	immunoprecipitate	primary-antibody	protein-concentration
Cos-7	HA-PAK65	E3b1+HA-Rac-N17	HA-PAK65	MBP	2/7: low
Cos-7	HA-PAK65	E3b1	HA-PAK65	MBP	6/7: high
Cos-7	HA-PAK65	ctr	HA-PAK65	MBP	1/7: very low
Cos-7	HA-PAK65	Sos-1	HA-PAK65	MBP	1/7: very low
Cos-7	HA-PAK65	E3b1+HA-Rac-N17	HA-PAK65	E3b1	7/7: very high
Cos-7	HA-PAK65	E3b1	HA-PAK65	E3b1	7/7: very high
Cos-7	HA-PAK65	ctr	HA-PAK65	E3b1	1/7: very low
Cos-7	HA-PAK65	Sos-1	HA-PAK65	E3b1	1/7: very low
Cos-7	HA-PAK65	E3b1+HA-Rac-N17	HA-PAK65	PAK	6/7: high
Cos-7	HA-PAK65	E3b1	HA-PAK65	PAK	6/7: high
Cos-7	HA-PAK65	ctr	HA-PAK65	PAK	6/7: high
Cos-7	HA-PAK65	Sos-1	HA-PAK65	PAK	6/7: high
Cos-7	HA-PAK65	E3b1+HA-Rac-N17	HA-PAK65	Sos-1	1/7: very low
Cos-7	HA-PAK65	E3b1	HA-PAK65	Sos-1	1/7: very low
Cos-7	HA-PAK65	ctr	HA-PAK65	Sos-1	1/7: very low
Cos-7	HA-PAK65	Sos-1	HA-PAK65	Sos-1	7/7: very high
Cos-7	HA-PAK65	E3b1+HA-Rac-N17	HA-PAK65	HA-Rac-N17	6/7: high
Cos-7	HA-PAK65	E3b1	HA-PAK65	HA-Rac-N17	0/7: none
Cos-7	HA-PAK65	ctr	HA-PAK65	HA-Rac-N17	0/7: none
Cos-7	HA-PAK65	Sos-1	HA-PAK65	HA-Rac-N17	0/7: none
