5265AE3C-28D7-4D50-F2E4-A332E852B8BC.C65C80B8-274B-20F1-818B-A33E9A7CD7DA	5265AE3C-28D7-4D50-F2E4-A332E852B8BC.9A7BD313-E88E-86AD-7582-A33ED8DC5ED0	5265AE3C-28D7-4D50-F2E4-A332E852B8BC.79026F3B-A432-9AAD-1A9C-A33F2CBF7277	717143F7-659E-B23B-E6AB-A332E852DDAF.93FDF76F-872E-DC1C-DF41-A332E852FB05	83405A4E-E762-7B08-61F3-A3374A08F9B5	207BDC73-E0E0-7E18-7180-A337C8D6D259
mutated-cell-type: cell-type	mutated-cell-type: gene	mutated-cell-type: mutation	viral-construct: molecule	primary-antibody2	protein-concentration-2
mouse embryo fibroblasts	eps8	+/+	 control	Rac	6/7: high
mouse embryo fibroblasts	eps8	+/+	 E3b1	Rac	6/7: high
mouse embryo fibroblasts	eps8	+/+	 E3b1-DY	Rac	6/7: high
mouse embryo fibroblasts	eps8	-/-	 control	Rac	6/7: high
mouse embryo fibroblasts	eps8	-/-	 E3b1	Rac	6/7: high
mouse embryo fibroblasts	eps8	-/-	 E3b1-DY	Rac	6/7: high
mouse embryo fibroblasts	eps8	+/+	 control	E3b1	6/7: high
mouse embryo fibroblasts	eps8	+/+	 E3b1	E3b1	7/7: very high
mouse embryo fibroblasts	eps8	+/+	 E3b1-DY	E3b1	7/7: very high
mouse embryo fibroblasts	eps8	-/-	 control	E3b1	6/7: high
mouse embryo fibroblasts	eps8	-/-	 E3b1	E3b1	7/7: very high
mouse embryo fibroblasts	eps8	-/-	 E3b1-DY	E3b1	7/7: very high
