E83E7014-A23B-E4BD-5686-A804C4FD6A33.CF259E26-85DA-B56D-E785-A805F0978F38	E83E7014-A23B-E4BD-5686-A804C4FD6A33.F462788F-2B96-E0AF-D242-A80606E0C6C3	E83E7014-A23B-E4BD-5686-A804C4FD6A33.17C9EDC5-4F02-1745-1CFC-A806132BD0D9	72BDE80A-D516-78B9-35EB-A803F28D5998	4994EC3C-1AFB-3064-20E0-A803F28DB9B1	7F736B7B-6336-C40B-BE07-A803F28DB593	DEEB7A8A-959D-EE69-86C5-A803F28DA212	A2AD1065-CAC9-1BAA-821C-A803F28DAB19
modified-cell-type: cell-type	modified-cell-type: gene	modified-cell-type: modification	promoter-construct	reagent	immunoprecipitate	primary-antibody	protein-concentration
mouse embryo fibroblasts	eps8	-/-	eps8-myc	control	lysate	Sos-1	6/7: high
mouse embryo fibroblasts	eps8	-/-	eps8-myc	PDGF	lysate	Sos-1	6/7: high
mouse embryo fibroblasts	eps8	-/-	eps8-myc	control	control	Sos-1	0/7: none
mouse embryo fibroblasts	eps8	-/-	eps8-myc	control	myc	Sos-1	1/7: very low
mouse embryo fibroblasts	eps8	-/-	eps8-myc	PDGF	myc	Sos-1	1/7: very low
mouse embryo fibroblasts	eps8	-/-	eps8-myc	control	lysate	E3b1	6/7: high
mouse embryo fibroblasts	eps8	-/-	eps8-myc	PDGF	lysate	E3b1	6/7: high
mouse embryo fibroblasts	eps8	-/-	eps8-myc	control	control	E3b1	0/7: none
mouse embryo fibroblasts	eps8	-/-	eps8-myc	control	myc	E3b1	6/7: high
mouse embryo fibroblasts	eps8	-/-	eps8-myc	PDGF	myc	E3b1	6/7: high
mouse embryo fibroblasts	eps8	-/-	eps8-myc	control	lysate	myc	4/7: moderate
mouse embryo fibroblasts	eps8	-/-	eps8-myc	PDGF	lysate	myc	4/7: moderate
mouse embryo fibroblasts	eps8	-/-	eps8-myc	control	control	myc	0/7: none
mouse embryo fibroblasts	eps8	-/-	eps8-myc	control	myc	myc	7/7: very high
mouse embryo fibroblasts	eps8	-/-	eps8-myc	PDGF	myc	myc	7/7: very high
