22321349-041C-CA51-53F4-790EDD0C0318	EC679854-FC06-DF49-2A52-791D2F386022	06E9065C-E78D-6BCA-74E9-78BB84F92899	75624B6F-4E7D-C8E9-EE04-78BC551071CF	542EAF8D-6CFE-13AF-1FBE-78B821C30E37
cell-type	promoter-construct	immunoprecipitate	primary-antibody	protein-concentration
 Eps8(-/-) fibroblasts	Eps8myc	lysate	Sos-1	6/7: high
 Eps8(-/-) fibroblasts	Eps8myc	lysate	E3b-1	5/7: moderate/high
 Eps8(-/-) fibroblasts	Eps8myc	lysate	Eps8	3/7: low/moderate
 Eps8(-/-) fibroblasts	control	lysate	Sos-1	6/7: high
 Eps8(-/-) fibroblasts	control	lysate	E3b-1	5/7: moderate/high
 Eps8(-/-) fibroblasts	control	lysate	Eps8	0/7: none
 Eps8(-/-) fibroblasts	Eps8myc	control	Sos-1	0/7: none
 Eps8(-/-) fibroblasts	Eps8myc	control	E3b-1	0/7: none
 Eps8(-/-) fibroblasts	Eps8myc	control	Eps8	0/7: none
 Eps8(-/-) fibroblasts	Eps8myc	myc	Sos-1	4/7: moderate
 Eps8(-/-) fibroblasts	Eps8myc	myc	E3b-1	4/7: moderate
 Eps8(-/-) fibroblasts	Eps8myc	myc	Eps8	7/7: very high
 Eps8(-/-) fibroblasts	control	myc	Sos-1	0/7: none
 Eps8(-/-) fibroblasts	control	myc	E3b-1	0/7: none
 Eps8(-/-) fibroblasts	control	myc	Eps8	0/7: none
