AFF848DE-524C-9E99-F339-A3747429F068	DD283FC0-E363-F0E7-E4E4-A37474290ADE.59EF80F9-3067-8522-0FAE-A37474299032	DD283FC0-E363-F0E7-E4E4-A37474290ADE.04C30481-BB3F-3DFA-2415-A3747429F847	DD283FC0-E363-F0E7-E4E4-A37474290ADE.8E1C1B6C-5510-9872-B39F-A375B44F4D5E	840DB5A1-60EE-88A2-ED6B-A3747429C661	DDFC3023-804A-9230-3338-A37474291080	610C4F04-85A6-00D0-A28C-A374742928CA
cell-type	promoter-construct: molecule1	promoter-construct: molecule2	promoter-construct: molecule3	immunoprecipitate	primary-antibody	protein-concentration
Cos-7	myEps8	Sos-1	AbiWT	lysate	Sos-1	6/7: high
Cos-7	myEps8	Sos-1	Abi-Y407F	lysate	Sos-1	6/7: high
Cos-7	myEps8	Sos-1	AbiWT	control	Sos-1	0/7: none
Cos-7	myEps8	Sos-1	Abi-Y407F	control	Sos-1	0/7: none
Cos-7	myEps8	Sos-1	AbiWT	myc	Sos-1	4/7: moderate
Cos-7	myEps8	Sos-1	Abi-Y407F	myc	Sos-1	4/7: moderate
Cos-7	myEps8	Sos-1	AbiWT	lysate	Eps8	5/7: moderate/high
Cos-7	myEps8	Sos-1	Abi-Y407F	lysate	Eps8	5/7: moderate/high
Cos-7	myEps8	Sos-1	AbiWT	control	Eps8	0/7: none
Cos-7	myEps8	Sos-1	Abi-Y407F	control	Eps8	0/7: none
Cos-7	myEps8	Sos-1	AbiWT	myc	Eps8	7/7: very high
Cos-7	myEps8	Sos-1	Abi-Y407F	myc	Eps8	7/7: very high
Cos-7	myEps8	Sos-1	AbiWT	lysate	Abi1	7/7: very high
Cos-7	myEps8	Sos-1	Abi-Y407F	lysate	Abi1	7/7: very high
Cos-7	myEps8	Sos-1	AbiWT	control	Abi1	0/7: none
Cos-7	myEps8	Sos-1	Abi-Y407F	control	Abi1	0/7: none
Cos-7	myEps8	Sos-1	AbiWT	myc	Abi1	7/7: very high
Cos-7	myEps8	Sos-1	Abi-Y407F	myc	Abi1	7/7: very high
Cos-7	myEps8	Sos-1	AbiWT	lysate	p85	6/7: high
Cos-7	myEps8	Sos-1	Abi-Y407F	lysate	p85	6/7: high
Cos-7	myEps8	Sos-1	AbiWT	control	p85	0/7: none
Cos-7	myEps8	Sos-1	Abi-Y407F	control	p85	0/7: none
Cos-7	myEps8	Sos-1	AbiWT	myc	p85	1/7: very low
Cos-7	myEps8	Sos-1	Abi-Y407F	myc	p85	0/7: none
