2ABD5522-606F-426C-E997-88E391B52561	675BB890-CE85-1B68-71DD-88E391B58A48.979A3E56-321A-EFC1-4BC5-88E391B5527E	675BB890-CE85-1B68-71DD-88E391B58A48.E7A7938F-30B9-6836-B6A2-88E391B51E1A	7A78B621-3816-1468-70A1-88E391B518A6	4CB3D122-E882-D810-B188-88E391B5B3BC	3D306CFD-8607-B9AF-5355-88E391B59173	2E7CB981-BEBC-2BF7-4397-88E391B52B1F
cell-type	promoter-construct: molecule1	promoter-construct: molecule2	reagent	immunoprecipitate	primary-antibody	protein-concentration
Cos-7	myc-Ras	control	control	Ras-GTP	myc	1/7: very low
Cos-7	myc-Ras	control	EGF	Ras-GTP	myc	6/7: high
Cos-7	myc-Ras	E3b1	control	Ras-GTP	myc	1/7: very low
Cos-7	myc-Ras	E3b1	EGF	Ras-GTP	myc	4/7: moderate
Cos-7	myc-Ras	control	control	control	Ras	6/7: high
Cos-7	myc-Ras	control	EGF	control	Ras	6/7: high
Cos-7	myc-Ras	E3b1	control	control	Ras	6/7: high
Cos-7	myc-Ras	E3b1	EGF	control	Ras	6/7: high
Cos-7	myc-Ras	control	control	control	E3b1	0/7: none
Cos-7	myc-Ras	control	EGF	control	E3b1	0/7: none
Cos-7	myc-Ras	E3b1	control	control	E3b1	6/7: high
Cos-7	myc-Ras	E3b1	EGF	control	E3b1	6/7: high
Cos-7	HA-MAPK	control	control	pMAPK	HA	0/7: none
Cos-7	HA-MAPK	control	EGF	pMAPK	HA	6/7: high
Cos-7	HA-MAPK	E3b1	control	pMAPK	HA	0/7: none
Cos-7	HA-MAPK	E3b1	EGF	pMAPK	HA	3/7: low/moderate
Cos-7	HA-MAPK	control	control	control	MAPK	3/7: low/moderate
Cos-7	HA-MAPK	control	EGF	control	MAPK	3/7: low/moderate
Cos-7	HA-MAPK	E3b1	control	control	MAPK	3/7: low/moderate
Cos-7	HA-MAPK	E3b1	EGF	control	MAPK	3/7: low/moderate
Cos-7	HA-MAPK	control	control	control	E3b1	0/7: none
Cos-7	HA-MAPK	control	EGF	control	E3b1	0/7: none
Cos-7	HA-MAPK	E3b1	control	control	E3b1	3/7: low/moderate
Cos-7	HA-MAPK	E3b1	EGF	control	E3b1	3/7: low/moderate
