BC65D2B0-B0A2-F2FF-9A43-A81EEB4FC95A	69239925-4E2E-4E74-26F5-A81EEB4F0A17.31FA302C-9AE9-27EB-9318-A81EEB4F4068	69239925-4E2E-4E74-26F5-A81EEB4F0A17.8B6EF5CD-1CB2-4C49-D6D9-A81EEB4F4C0D	0340E322-6A87-887C-4771-A81EEB4F9F1A	B60F3B51-01C6-45FA-A18E-A81EEB4F8429	F061F38A-9BED-66DE-09B4-A81EEB4E74B9.19981B51-ACEB-F417-B134-A81EEB4FFD53	F061F38A-9BED-66DE-09B4-A81EEB4E74B9.406E194E-CD81-27D8-8970-A81EEB4F90F6
cell-type	reagent-treatment: reagent	reagent-treatment: duration	target-molecule	primary-antibody	band-density+shift: protein-concentration	band-density+shift: mobility-shift
mouse embryo fibroblast	PDGF	0	lysate	Sos-1	6/7: high	0
mouse embryo fibroblast	PDGF	1	lysate	Sos-1	6/7: high	1
mouse embryo fibroblast	PDGF	3	lysate	Sos-1	6/7: high	1
mouse embryo fibroblast	PDGF	5	lysate	Sos-1	6/7: high	1
mouse embryo fibroblast	PDGF	10	lysate	Sos-1	6/7: high	1
mouse embryo fibroblast	PDGF	15	lysate	Sos-1	6/7: high	1
mouse embryo fibroblast	PDGF	0	GST-RBD	Ras	1/7: very low	0
mouse embryo fibroblast	PDGF	1	GST-RBD	Ras	6/7: high	0
mouse embryo fibroblast	PDGF	3	GST-RBD	Ras	6/7: high	0
mouse embryo fibroblast	PDGF	5	GST-RBD	Ras	1/7: very low	0
mouse embryo fibroblast	PDGF	10	GST-RBD	Ras	1/7: very low	0
mouse embryo fibroblast	PDGF	15	GST-RBD	Ras	1/7: very low	0
mouse embryo fibroblast	PDGF	0	lysate	Ras	6/7: high	0
mouse embryo fibroblast	PDGF	1	lysate	Ras	6/7: high	0
mouse embryo fibroblast	PDGF	3	lysate	Ras	6/7: high	0
mouse embryo fibroblast	PDGF	5	lysate	Ras	6/7: high	0
mouse embryo fibroblast	PDGF	10	lysate	Ras	6/7: high	0
mouse embryo fibroblast	PDGF	15	lysate	Ras	6/7: high	0
mouse embryo fibroblast	PDGF	0	GST-CRIB	Rac	1/7: very low	0
mouse embryo fibroblast	PDGF	1	GST-CRIB	Rac	4/7: moderate	1
mouse embryo fibroblast	PDGF	3	GST-CRIB	Rac	6/7: high	1
mouse embryo fibroblast	PDGF	5	GST-CRIB	Rac	4/7: moderate	1
mouse embryo fibroblast	PDGF	10	GST-CRIB	Rac	4/7: moderate	1
mouse embryo fibroblast	PDGF	15	GST-CRIB	Rac	4/7: moderate	1
mouse embryo fibroblast	PDGF	0	lysate	Ras	4/7: moderate	0
mouse embryo fibroblast	PDGF	1	lysate	Ras	4/7: moderate	0
mouse embryo fibroblast	PDGF	3	lysate	Ras	4/7: moderate	0
mouse embryo fibroblast	PDGF	5	lysate	Ras	4/7: moderate	0
mouse embryo fibroblast	PDGF	10	lysate	Ras	4/7: moderate	0
mouse embryo fibroblast	PDGF	15	lysate	Ras	4/7: moderate	0
