32002672-7BDA-C755-5DBA-D048D08D031D.CEEA30FC-F3B8-5418-4574-D048D08DCFB9	32002672-7BDA-C755-5DBA-D048D08D031D.DB07621A-3269-147E-F16C-D048D08D6DDF	32002672-7BDA-C755-5DBA-D048D08D031D.3F1C1C0A-C450-712B-6869-D048D08D60C0	CD0A15A8-BC4D-8424-B7EE-D048D08D79E0.F42BD0A7-7177-C2C5-4D29-D048D08D7550	CD0A15A8-BC4D-8424-B7EE-D048D08D79E0.CC7340BE-C740-EA1A-A0B8-D04C01B7D5B1	CD0A15A8-BC4D-8424-B7EE-D048D08D79E0.F002C09C-E4A6-CA0E-9B1E-D04C7467D902	06C130CA-4C37-1358-2174-D048D08C0F29	0E19EE6B-07B7-2564-A516-D048D08DE768	1228B888-DE90-D146-5113-D048D08CE1A2
modified-cell-type: cell-type	modified-cell-type: gene	modified-cell-type: modification	triple-promoter-construct: promoter-construct-1	triple-promoter-construct: promoter-construct-2	triple-promoter-construct: promoter-construct-3	immunoprecipitate	primary-antibody	protein-concentration
MEF	p66shc	-/-	vector	Grb2	Sos1	grb2	Sos1	3/7: low/moderate
MEF	p66shc	-/-	P66shc-CH2	Grb2	Sos1	grb2	Sos1	3/7: low/moderate
MEF	p66shc	-/-	P66shc-P47A/P50A	Grb2	Sos1	grb2	Sos1	3/7: low/moderate
MEF	p66shc	-/-	P66shc	Grb2	Sos1	grb2	Sos1	2/7: low
MEF	p66shc	-/-	control	Grb2	Sos1	grb2	Sos1	6/7: high
MEF	p66shc	+/+	control	Grb2	Sos1	grb2	Sos1	1/7:  very low
MEF	p66shc	-/-	vector	Grb2	Sos1	grb2	grb2	7/7: very high
MEF	p66shc	-/-	P66shc-CH2	Grb2	Sos1	grb2	grb2	7/7: very high
MEF	p66shc	-/-	P66shc-P47A/P50A	Grb2	Sos1	grb2	grb2	7/7: very high
MEF	p66shc	-/-	P66shc	Grb2	Sos1	grb2	grb2	7/7: very high
MEF	p66shc	-/-	control	Grb2	Sos1	grb2	grb2	7/7: very high
MEF	p66shc	+/+	control	Grb2	Sos1	grb2	grb2	7/7: very high
MEF	p66shc	-/-	vector	Grb2	Sos1	lysate	Sos1	3/7: low/moderate
MEF	p66shc	-/-	P66shc-CH2	Grb2	Sos1	lysate	Sos1	6/7: high
MEF	p66shc	-/-	P66shc-P47A/P50A	Grb2	Sos1	lysate	Sos1	6/7: high
MEF	p66shc	-/-	P66shc	Grb2	Sos1	lysate	Sos1	6/7: high
MEF	p66shc	-/-	control	Grb2	Sos1	lysate	Sos1	6/7: high
MEF	p66shc	+/+	control	Grb2	Sos1	lysate	Sos1	5/7: moderate/high
MEF	p66shc	-/-	vector	Grb2	Sos1	lysate	grb2	6/7: high
MEF	p66shc	-/-	P66shc-CH2	Grb2	Sos1	lysate	grb2	6/7: high
MEF	p66shc	-/-	P66shc-P47A/P50A	Grb2	Sos1	lysate	grb2	6/7: high
MEF	p66shc	-/-	P66shc	Grb2	Sos1	lysate	grb2	6/7: high
MEF	p66shc	-/-	control	Grb2	Sos1	lysate	grb2	6/7: high
MEF	p66shc	+/+	control	Grb2	Sos1	lysate	grb2	6/7: high
