22321349-041C-CA51-53F4-790EDD0C0318	EC679854-FC06-DF49-2A52-791D2F386022	06E9065C-E78D-6BCA-74E9-78BB84F92899	75624B6F-4E7D-C8E9-EE04-78BC551071CF	542EAF8D-6CFE-13AF-1FBE-78B821C30E37
cell-type	promoter-construct	immunoprecipitate	primary-antibody	protein-concentration
HEK293	p66shc	grb2	sos1	4/7: moderate
HEK293	p66shc	grb2	shc	6/7: high
HEK293	p66shc	grb2	grb2	7/7: very high
HEK293	p66shc-Y3F	grb2	sos1	6/7: high
HEK293	p66shc-Y3F	grb2	shc	2/7: low
HEK293	p66shc-Y3F	grb2	grb2	7/7: very high
HEK293	p66shc	lysate	sos1	6/7: high
HEK293	p66shc	lysate	shc	7/7: very high
HEK293	p66shc	lysate	grb2	7/7: very high
HEK293	p66shc-Y3F	lysate	sos1	6/7: high
HEK293	p66shc-Y3F	lysate	shc	7/7: very high
HEK293	p66shc-Y3F	lysate	grb2	7/7: very high
